County,CAN-Active,APV-Active,DEM-Active,GRN-Active,LBR-Active,REP-Active,UAF-Active,UNI-Active,Total-Active,CAN-Inactive,APV-Inactive,DEM-Inactive,GRN-Inactive,LBR-Inactive,REP-Inactive,UAF-Inactive,UNI-Inactive,Total-Inactive,CAN-Prereg,APV-Prereg,DEM-Prereg,GRN-Prereg,LBR-Prereg,REP-Prereg,UAF-Prereg,UNI-Prereg,Total-Prereg,Total
Adams,"1,332",580,"96,382",625,"3,197","62,270","134,536",370,"299,292",121,23,"5,560",61,309,"4,570","10,135",20,"20,799",3,,288,5,11,229,"4,870",,"5,406","325,497"
Alamosa,52,11,"3,168",21,75,"2,698","3,754",12,"9,791",7,1,315,5,18,221,471,3,"1,041",,,2,,,10,128,,140,"10,972"
Arapahoe,"1,240",585,"135,708",893,"4,454","93,410","182,320",410,"419,020",147,21,"9,584",140,624,"7,023","16,211",48,"33,798",10,4,753,11,22,577,"6,656",2,"8,035","460,853"
Archuleta,44,6,"2,208",26,92,"4,308","4,491",4,"11,179",4,1,211,9,15,393,471,1,"1,105",1,,5,,1,14,103,,124,"12,408"
Baca,14,1,369,4,20,"1,361",890,3,"2,662",3,,17,,,45,76,1,142,,,1,,,19,28,,48,"2,852"
Bent,18,7,673,9,20,"1,087","1,058",3,"2,875",4,2,56,,4,62,143,,271,,,2,,,12,27,,41,"3,187"
Boulder,316,134,"98,449",692,"2,098","28,429","100,627",124,"230,869",47,7,"5,752",108,352,"2,146","8,285",13,"16,710",1,1,604,7,12,100,"2,377",,"3,102","250,681"
Broomfield,99,37,"15,685",90,615,"11,406","24,761",25,"52,718",8,2,922,10,71,877,"1,908",,"3,798",,,120,1,4,64,631,,820,"57,336"
Chaffee,40,7,"4,043",24,149,"4,458","7,010",8,"15,739",4,,291,10,14,431,652,1,"1,403",,1,10,,1,14,100,,126,"17,268"
Cheyenne,5,,109,,,829,348,,"1,291",,,4,,1,25,35,,65,,,,,,15,22,,37,"1,393"
Clear Creek,21,5,"2,137",29,123,"1,828","3,586",5,"7,734",7,1,145,7,18,151,295,,624,,,8,,,5,61,,74,"8,432"
Conejos,19,4,"2,195",8,22,"1,824","1,208",3,"5,283",1,,111,1,4,124,115,,356,,,3,,,4,65,,72,"5,711"
Costilla,14,2,"1,519",7,22,388,842,1,"2,795",3,,64,,3,52,111,,233,,,2,,,,36,,38,"3,066"
Crowley,12,3,409,8,19,"1,011",722,2,"2,186",2,,37,,4,49,77,,169,,,,,,8,28,,36,"2,391"
Custer,18,1,546,12,40,"2,136","1,548",2,"4,303",2,,36,1,5,165,101,,310,,,,,,2,16,,18,"4,631"
Delta,136,20,"3,510",57,204,"9,846","9,099",11,"22,883",13,1,167,4,23,380,505,1,"1,094",,,11,,1,61,269,,342,"24,319"
Denver,"1,208",675,"211,661","1,276","4,604","49,069","198,244",506,"467,243",241,31,"15,442",271,773,"4,768","19,797",80,"41,403",3,2,723,9,6,105,"4,214",1,"5,063","513,709"
Dolores,9,,241,3,13,778,643,,"1,687",,,12,,4,37,50,,103,,,,,,2,19,,21,"1,811"
Douglas,523,104,"51,833",358,"2,979","95,458","114,826",110,"266,191",32,5,"2,279",37,272,"5,189","5,907",5,"13,726",6,2,492,3,13,"1,116","5,398",2,"7,032","286,949"
Eagle,72,28,"10,089",91,374,"7,026","17,337",27,"35,044",9,6,597,10,55,473,"1,245",3,"2,398",,,61,,,35,584,,680,"38,122"
El Paso,"1,889",408,"93,025","1,075","6,843","158,903","212,305",428,"474,876",263,20,"7,877",170,915,"11,431","19,089",38,"39,803",5,,328,14,15,813,"6,526",,"7,701","522,380"
Elbert,74,9,"2,312",22,235,"10,877","8,387",6,"21,922",4,1,95,1,19,577,453,,"1,150",1,,9,,,134,338,1,483,"23,555"
Fremont,177,24,"4,826",65,330,"12,931","12,621",23,"30,997",19,1,257,7,22,701,836,3,"1,846",1,,3,,,31,251,,286,"33,129"
Garfield,160,46,"9,005",110,408,"10,357","17,509",28,"37,623",18,1,501,13,39,672,"1,448",5,"2,697",,1,38,1,2,77,593,,712,"41,032"
Gilpin,16,6,"1,307",25,69,"1,136","2,352",3,"4,914",8,,211,5,14,201,434,1,874,,,3,,1,1,32,,37,"5,825"
